"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total by Tenure","Rented Dwellings","Owned Dwellings","Low Income Population","High Shelter Costs"
"Woodbine Corridor",64.0,"N/A",12541.0,5205.0,1965.0,3250.0,1770.0,1560.0
"Greenwood-Coxwell",65.0,"N/A",14417.0,6005.0,2285.0,3715.0,2920.0,1970.0
"Danforth",66.0,"N/A",9666.0,3905.0,1410.0,2490.0,1400.0,1190.0
"Playter Estates-Danforth",67.0,"N/A",7804.0,3535.0,1865.0,1665.0,870.0,1335.0
"North Riverdale",68.0,"N/A",11916.0,5150.0,2200.0,2945.0,1380.0,1305.0
"Blake-Jones",69.0,"N/A",7727.0,3235.0,1480.0,1760.0,2040.0,970.0
"South Riverdale",70.0,"N/A",27876.0,10740.0,4105.0,6635.0,5440.0,3745.0
"Cabbagetown-South St.James Town",71.0,"N/A",11669.0,6630.0,3690.0,2940.0,1880.0,2500.0
"Regent Park",72.0,"N/A",10803.0,3845.0,3135.0,715.0,5150.0,1950.0
"Moss Park",73.0,"N/A",20506.0,9030.0,5695.0,3335.0,5120.0,4615.0
"North St.James Town",74.0,"N/A",18615.0,9200.0,8590.0,615.0,5860.0,4195.0
"Church-Yonge Corridor",75.0,"N/A",31340.0,18230.0,12900.0,5330.0,5160.0,8890.0
"Bay Street Corridor",76.0,"N/A",25797.0,11395.0,7625.0,3775.0,12820.0,8520.0
"Waterfront Communities-The Island",77.0,"N/A",65913.0,26990.0,13640.0,13350.0,6990.0,16500.0
"Kensington-Chinatown",78.0,"N/A",17945.0,8635.0,5975.0,2655.0,6070.0,4190.0
"University",79.0,"N/A",7607.0,3290.0,1960.0,1335.0,1530.0,1580.0
"Palmerston-Little Italy",80.0,"N/A",13826.0,6235.0,3590.0,2650.0,1810.0,2380.0
"Trinity-Bellwoods",81.0,"N/A",16556.0,6845.0,2940.0,3905.0,3220.0,2485.0
"Niagara",82.0,"N/A",31180.0,12635.0,4840.0,7795.0,2580.0,7210.0
"Dufferin Grove",83.0,"N/A",11785.0,5105.0,3100.0,2005.0,2140.0,2165.0
"Little Portugal",84.0,"N/A",15559.0,5305.0,2825.0,2475.0,2030.0,3130.0
"South Parkdale",85.0,"N/A",21849.0,10595.0,9485.0,1105.0,5660.0,5600.0
"Roncesvalles",86.0,"N/A",14974.0,6815.0,3660.0,3155.0,2640.0,2595.0
"High Park-Swansea",87.0,"N/A",23925.0,9855.0,3875.0,5975.0,2290.0,3260.0
"High Park North",88.0,"N/A",22162.0,10605.0,7000.0,3605.0,2940.0,4045.0
"Runnymede-Bloor West Village",89.0,"N/A",10070.0,3810.0,865.0,2945.0,720.0,805.0
"Junction Area",90.0,"N/A",14366.0,5755.0,2355.0,3395.0,2190.0,1960.0
"Weston-Pellam Park",91.0,"N/A",11098.0,4400.0,1810.0,2590.0,2810.0,1300.0
"Corso Italia-Davenport",92.0,"N/A",14133.0,5100.0,1835.0,3265.0,2120.0,1765.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",36625.0,13945.0,6485.0,7460.0,6400.0,5690.0
"Wychwood",94.0,"N/A",14349.0,5530.0,2830.0,2700.0,1940.0,2095.0
"Annex",95.0,"N/A",30526.0,15550.0,9780.0,5770.0,4260.0,6445.0
"Casa Loma",96.0,"N/A",10968.0,5320.0,3095.0,2225.0,950.0,1980.0
"Yonge-St.Clair",97.0,"N/A",12528.0,6780.0,4160.0,2625.0,980.0,2535.0
"Rosedale-Moore Park",98.0,"N/A",20923.0,10005.0,4260.0,5740.0,1650.0,3075.0
"Mount Pleasant East",99.0,"N/A",16775.0,7370.0,2970.0,4400.0,1210.0,2185.0
"Yonge-Eglinton",100.0,"N/A",11817.0,5205.0,3155.0,2050.0,1100.0,1925.0
"Forest Hill South",101.0,"N/A",10732.0,4790.0,2160.0,2635.0,860.0,1650.0
"Forest Hill North",102.0,"N/A",12806.0,5335.0,3485.0,1850.0,1770.0,1945.0
"Lawrence Park South",103.0,"N/A",15179.0,5675.0,1665.0,4010.0,930.0,1315.0
"Mount Pleasant West",104.0,"N/A",29658.0,17575.0,13020.0,4555.0,4740.0,7290.0
"Lawrence Park North",105.0,"N/A",14607.0,5495.0,1260.0,4240.0,980.0,1215.0
"Humewood-Cedarvale",106.0,"N/A",14365.0,6575.0,4205.0,2370.0,1820.0,2340.0
"Oakwood Village",107.0,"N/A",21210.0,8560.0,3985.0,4570.0,3930.0,3190.0
"Briar Hill-Belgravia",108.0,"N/A",14257.0,5810.0,2940.0,2870.0,2870.0,1960.0
"Caledonia-Fairbank",109.0,"N/A",9955.0,3515.0,1090.0,2425.0,1720.0,1100.0
"Keelesdale-Eglinton West",110.0,"N/A",11058.0,3985.0,1470.0,2510.0,1970.0,1510.0
"Rockcliffe-Smythe",111.0,"N/A",22246.0,8905.0,3650.0,5250.0,5160.0,3185.0
"Beechborough-Greenbrook",112.0,"N/A",6577.0,2665.0,1765.0,905.0,1920.0,945.0
"Weston",113.0,"N/A",17992.0,7905.0,4815.0,3090.0,5050.0,3250.0
"Lambton Baby Point",114.0,"N/A",7985.0,3160.0,1240.0,1920.0,1390.0,725.0
"Mount Dennis",115.0,"N/A",13593.0,4875.0,2410.0,2470.0,3770.0,2125.0
"Steeles",116.0,"N/A",24623.0,7685.0,1095.0,6585.0,7570.0,2915.0
"L'Amoreaux",117.0,"N/A",43993.0,14915.0,4790.0,10125.0,12450.0,5700.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,9805.0,4110.0,5700.0,6570.0,3820.0
"Wexford/Maryvale",119.0,"N/A",27917.0,9970.0,3655.0,6320.0,5500.0,3325.0
"Clairlea-Birchmount",120.0,"N/A",26984.0,8750.0,2980.0,5770.0,5650.0,3175.0
"Oakridge",121.0,"N/A",13845.0,5225.0,3630.0,1600.0,5890.0,2290.0
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,9185.0,3015.0,6170.0,3050.0,2720.0
"Cliffcrest",123.0,"N/A",15935.0,5825.0,1755.0,4070.0,2660.0,1720.0
"Kennedy Park",124.0,"N/A",17123.0,6530.0,2870.0,3670.0,4810.0,2330.0
"Ionview",125.0,"N/A",13641.0,5070.0,3085.0,1985.0,3350.0,1725.0
"Dorset Park",126.0,"N/A",25003.0,8525.0,3235.0,5290.0,6590.0,3345.0
"Bendale",127.0,"N/A",29960.0,9995.0,3275.0,6720.0,6870.0,4115.0
"Agincourt South-Malvern West",128.0,"N/A",23757.0,6885.0,1635.0,5250.0,6400.0,3120.0
"Agincourt North",129.0,"N/A",29113.0,9145.0,1810.0,7335.0,8250.0,3155.0
"Milliken",130.0,"N/A",26572.0,7785.0,1000.0,6785.0,8330.0,3010.0
"Rouge",131.0,"N/A",46496.0,13060.0,1805.0,11260.0,7770.0,3910.0
"Malvern",132.0,"N/A",43794.0,13415.0,3900.0,9510.0,11490.0,4790.0
"Centennial Scarborough",133.0,"N/A",13362.0,4280.0,305.0,3965.0,1330.0,765.0
"Highland Creek",134.0,"N/A",12494.0,3805.0,445.0,3360.0,2120.0,900.0
"Morningside",135.0,"N/A",17455.0,5860.0,2300.0,3560.0,4580.0,2090.0
"West Hill",136.0,"N/A",27392.0,9700.0,3820.0,5875.0,7640.0,3230.0
"Woburn",137.0,"N/A",53485.0,18380.0,8475.0,9905.0,15430.0,6605.0
"Eglinton East",138.0,"N/A",22776.0,8060.0,4475.0,3585.0,6290.0,2830.0
"Scarborough Village",139.0,"N/A",16724.0,5905.0,3195.0,2715.0,5500.0,2460.0
"Guildwood",140.0,"N/A",9917.0,3955.0,860.0,3095.0,790.0,960.0
